combo;rang;type_main
[11 20 37 46 50];41;2
[11 20 33 37 50];41;2
[ 7 11 37 46 50];41;2
[ 7 11 33 37 50];41;2
[11 33 37 46 50];41;2
[11 19 24 32 50];42;2
[ 6 11 19 24 37];42;2
[ 6 11 24 32 37];42;2
[ 6 11 24 37 45];42;2
[11 19 24 32 37];42;2
[11 19 24 37 45];42;2
[11 24 32 37 45];42;2
[ 6 11 19 24 50];42;2
[ 6 11 24 32 50];42;2
[ 6 11 24 45 50];42;2
[11 19 24 45 50];42;2
[24 32 37 45 50];42;2
[ 6 11 19 37 50];42;2
[ 6 11 32 37 50];42;2
[ 6 11 37 45 50];42;2
[11 19 32 37 50];42;2
[11 19 37 45 50];42;2
[11 32 37 45 50];42;2
[ 6 19 24 37 50];42;2
[ 6 24 32 37 50];42;2
[ 6 24 37 45 50];42;2
[19 24 32 37 50];42;2
[19 24 37 45 50];42;2
[11 24 32 45 50];42;2
[ 5 11 24 44 50];43;2
[ 5 11 24 31 50];43;2
[ 5 11 18 24 50];43;2
[11 24 31 37 44];43;2
[11 18 24 31 50];43;2
[11 18 24 31 37];43;2
[ 5 11 24 37 44];43;2
[ 5 11 24 31 37];43;2
[ 5 11 18 24 37];43;2
[11 18 24 37 44];43;2
[11 18 24 44 50];43;2
[24 31 37 44 50];43;2
[ 5 11 18 37 50];43;2
[18 24 37 44 50];43;2
[18 24 31 37 50];43;2
[ 5 24 37 44 50];43;2
[ 5 24 31 37 50];43;2
[ 5 18 24 37 50];43;2
[11 24 31 44 50];43;2
[11 18 37 44 50];43;2
[11 18 31 37 50];43;2
[ 5 11 37 44 50];43;2
[ 5 11 31 37 50];43;2
[11 31 37 44 50];43;2
[11 17 24 43 50];44;2
[ 4 11 24 30 37];44;2
[ 4 11 24 37 43];44;2
[11 17 24 30 37];44;2
[11 17 24 37 43];44;2
[11 24 30 37 43];44;2
[ 4 11 17 24 50];44;2
[ 4 11 24 30 50];44;2
[ 4 11 24 43 50];44;2
[11 17 24 30 50];44;2
[ 4 11 17 24 37];44;2
[11 24 30 43 50];44;2
[ 4 11 30 37 50];44;2
[ 4 11 37 43 50];44;2
[11 17 30 37 50];44;2
[11 17 37 43 50];44;2
[11 30 37 43 50];44;2
[ 4 17 24 37 50];44;2
[ 4 24 30 37 50];44;2
[ 4 24 37 43 50];44;2
[17 24 30 37 50];44;2
[17 24 37 43 50];44;2
[24 30 37 43 50];44;2
[ 4 11 17 37 50];44;2
[ 3 11 24 42 50];45;2
[ 3 11 24 29 50];45;2
[ 3 11 16 24 50];45;2
[11 24 29 37 42];45;2
[11 16 24 29 50];45;2
[11 16 24 29 37];45;2
[ 3 11 24 37 42];45;2
[ 3 11 24 29 37];45;2
[ 3 11 16 24 37];45;2
[11 16 24 37 42];45;2
[11 16 24 42 50];45;2
[24 29 37 42 50];45;2
[ 3 11 16 37 50];45;2
[16 24 37 42 50];45;2
